#Lambda		#gdark		#mchi		#mbx		#mphi		#omega 
   1.0000000000000000E-008   3.6932947500000000E-004  0.40000000000000002        3.0000000000000001E-003   10.000000000000000       0.13572861021499999     
   1.0000000000000000E-008   3.6932947500000000E-004  0.40000000000000002        3.0000000000000001E-003   8.0000000000000000       0.13565347115099999     
   1.0000000000000000E-008   1.2310983000000000E-005  0.40000000000000002        1.0000000000000000E-004   5.0000000000000000       0.13529197048000000     
   1.0000000000000000E-008   6.1554912999999998E-005  0.40000000000000002        5.0000000000000001E-004   5.0000000000000000       0.13528284468400001     
   1.0000000000000000E-008   1.2310982500000000E-004  0.40000000000000002        1.0000000000000000E-003   5.0000000000000000       0.13525433466799999     
   1.0000000000000000E-008   2.4621965000000000E-004  0.40000000000000002        2.0000000000000000E-003   5.0000000000000000       0.13514041716000000     
   1.0000000000000000E-008   6.1554912500000000E-004  0.40000000000000002        5.0000000000000001E-003   10.000000000000000       0.13511886048100000     
   1.0000000000000000E-008   6.1554912500000000E-004  0.40000000000000002        5.0000000000000001E-003   8.0000000000000000       0.13504441981599999     
   1.0000000000000000E-008   3.6932947500000000E-004  0.40000000000000002        3.0000000000000001E-003   5.0000000000000000       0.13495098929700000     
   1.0000000000000000E-008   6.1554912500000000E-004  0.40000000000000002        5.0000000000000001E-003   5.0000000000000000       0.13434844616200001     
   1.0000000000000000E-008   9.8487860000000000E-004  0.40000000000000002        8.0000000000000002E-003   10.000000000000000       0.13365576379200000     
   1.0000000000000000E-008   9.8487860000000000E-004  0.40000000000000002        8.0000000000000002E-003   8.0000000000000000       0.13358298537300001     
   1.0000000000000000E-008   9.8487860000000000E-004  0.40000000000000002        8.0000000000000002E-003   5.0000000000000000       0.13290250291899999     
   1.0000000000000000E-008   1.2310982500000000E-003  0.40000000000000002        1.0000000000000000E-002   10.000000000000000       0.13233362875400001     
   1.0000000000000000E-008   1.2310982500000000E-003  0.40000000000000002        1.0000000000000000E-002   8.0000000000000000       0.13226233596600001     
   1.0000000000000000E-008   1.2310982500000000E-003  0.40000000000000002        1.0000000000000000E-002   5.0000000000000000       0.13159570014600000     
   1.0000000000000001E-009   6.1554912500009999       0.40000000000000002        500.00000000000000        1.0000000000000000       0.13042631744399999     
   1.0000000000000000E-008   1.2310983000000000E-005   5.0000000000000003E-002   1.0000000000000000E-004  0.59999999999999998       0.12674191318799999     
   1.0000000000000000E-008   6.1554912999999998E-005   5.0000000000000003E-002   5.0000000000000001E-004  0.59999999999999998       0.12673372316500001     
   1.0000000000000000E-008   1.2310982500000000E-004   5.0000000000000003E-002   1.0000000000000000E-003  0.59999999999999998       0.12670813841000000     
   1.0000000000000000E-008   2.4621965000000000E-004   5.0000000000000003E-002   2.0000000000000000E-003  0.59999999999999998       0.12660593650099999     
   1.0000000000000000E-008   3.6932947500000000E-004   5.0000000000000003E-002   3.0000000000000001E-003  0.59999999999999998       0.12643608552300001     
